Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly)
0101010000,22.567635248800002,7.151810974299999,0.0,0.0,5.48122459637,1.0115996781
0101020000,21.3586182052,5.942793930720001,0.0,0.0,5.48122459637,1.0115996781
0101030000,23.115381450300003,7.69955717584,0.0,0.0,5.48122459637,1.0115996781
0101040000,21.296320385,5.880496110529999,0.0,0.0,5.48122459637,1.0115996781
0101050000,22.9925491621,7.576724887669999,0.0,0.0,5.48122459637,1.0115996781
0101060000,21.2937410338,5.87791675935,0.0,0.0,5.48122459637,1.0115996781
0101070000,23.165907024699997,7.750082750239999,0.0,0.0,5.48122459637,1.0115996781
0101080000,21.447188755,6.031364480490001,0.0,0.0,5.48122459637,1.0115996781
0101090000,23.2691065099,7.85328223548,0.0,0.0,5.48122459637,1.0115996781
0101100000,21.5326566774,6.11683240291,0.0,0.0,5.48122459637,1.0115996781
0101110000,23.4012116305,7.98538735602,0.0,0.0,5.48122459637,1.0115996781
0101120000,14.154785679200002,6.174794738119999,0.0,0.0,5.48122459637,1.0115996781
0101130000,14.486055303599999,7.9932310291499995,0.0,0.0,5.48122459637,1.0115996781
0101140000,12.6453805646,6.15255629017,0.0,0.0,5.48122459637,1.0115996781
0101150000,18.851930221,7.89760594649,0.0,0.0,5.48122459637,1.0115996781
0101160000,21.4429690382,6.0271447637,0.0,0.0,5.48122459637,1.0115996781
0101170000,23.1883625048,7.7725382303799995,0.0,0.0,5.48122459637,1.0115996781
0101180000,21.3856039953,5.96977972085,0.0,0.0,5.48122459637,1.0115996781
0101190000,23.1472433348,7.7314190603199995,0.0,0.0,5.48122459637,1.0115996781
0101200000,21.3886861646,5.97286189018,0.0,0.0,5.48122459637,1.0115996781
0101210000,23.183943141100002,7.76811886666,0.0,0.0,5.48122459637,1.0115996781
0101220000,21.427687327,6.01186305258,0.0,0.0,5.48122459637,1.0115996781
0101230000,23.2106357895,7.79481151505,0.0,0.0,5.48122459637,1.0115996781
0101240000,21.4185039547,6.00267968021,0.0,0.0,5.48122459637,1.0115996781
0102010000,23.2006110957,7.78478682125,0.0,0.0,5.48122459637,1.0115996781
0102020000,21.4192954206,6.0034711461,0.0,0.0,5.48122459637,1.0115996781
0102030000,23.1956337546,7.77980948018,0.0,0.0,5.48122459637,1.0115996781
0102040000,21.4083168201,5.992492545630001,0.0,0.0,5.48122459637,1.0115996781
0102050000,23.2058855396,7.790061265139999,0.0,0.0,5.48122459637,1.0115996781
0102060000,21.4432079271,6.02738365261,0.0,0.0,5.48122459637,1.0115996781
0102070000,31.661486167899998,16.2456618935,0.0,0.0,5.48122459637,1.0115996781
0102080000,52.151558669399996,16.2456618935,0.0,0.0,21.9248983855,5.05799839049
0102090000,71.6300314928,16.2456618935,0.0,0.0,38.3685721746,8.09279742479
0102100000,83.60408036359999,16.2456618935,0.0,0.0,49.331021367299996,9.10439710289
0102110000,83.60408036359999,16.2456618935,0.0,0.0,49.331021367299996,9.10439710289
