Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),Electricity:Facility [kW](Monthly),Gas:Facility [kW](Monthly)
 01/01  01:00:00,22.5676352488,7.1518109743,0.0,0.0,5.48122459637,1.0115996781,213.075557211,213.075557211
 01/01  02:00:00,21.3586182052,5.94279393072,0.0,0.0,5.48122459637,1.0115996781,189.548148969,189.548148969
 01/01  03:00:00,23.1153814503,7.69955717584,0.0,0.0,5.48122459637,1.0115996781,224.912262725,224.912262725
 01/01  04:00:00,21.296320385,5.88049611053,0.0,0.0,5.48122459637,1.0115996781,186.402560797,186.402560797
 01/01  05:00:00,22.9925491621,7.57672488767,0.0,0.0,5.48122459637,1.0115996781,219.823411265,219.823411265
 01/01  06:00:00,21.2937410338,5.87791675935,0.0,0.0,5.48122459637,1.0115996781,187.02035723,187.02035723
 01/01  07:00:00,23.1659070247,7.75008275024,0.0,0.0,5.48122459637,1.0115996781,227.638084881,227.638084881
 01/01  08:00:00,21.447188755,6.03136448049,0.0,0.0,5.48122459637,1.0115996781,193.591400358,193.591400358
 01/01  09:00:00,23.2691065099,7.85328223548,0.0,0.0,5.48122459637,1.0115996781,232.202162617,232.202162617
 01/01  10:00:00,21.5326566774,6.11683240291,0.0,0.0,5.48122459637,1.0115996781,198.577447656,198.577447656
 01/01  11:00:00,23.4012116305,7.98538735602,0.0,0.0,5.48122459637,1.0115996781,238.080130426,238.080130426
 01/01  12:00:00,14.1547856792,6.17479473812,0.0,0.0,5.48122459637,1.0115996781,202.442905937,202.442905937
 01/01  13:00:00,14.4860553036,7.99323102915,0.0,0.0,5.48122459637,1.0115996781,239.661017939,239.661017939
 01/01  14:00:00,12.6453805646,6.15255629017,0.0,0.0,5.48122459637,1.0115996781,201.375181541,201.375181541
 01/01  15:00:00,18.851930221,7.89760594649,0.0,0.0,5.48122459637,1.0115996781,234.13057758,234.13057758
 01/01  16:00:00,21.4429690382,6.0271447637,0.0,0.0,5.48122459637,1.0115996781,194.594295473,194.594295473
 01/01  17:00:00,23.1883625048,7.77253823038,0.0,0.0,5.48122459637,1.0115996781,228.606348252,228.606348252
 01/01  18:00:00,21.3856039953,5.96977972085,0.0,0.0,5.48122459637,1.0115996781,190.834663353,190.834663353
 01/01  19:00:00,23.1472433348,7.73141906032,0.0,0.0,5.48122459637,1.0115996781,225.783659289,225.783659289
 01/01  20:00:00,21.3886861646,5.97286189018,0.0,0.0,5.48122459637,1.0115996781,189.6362707,189.6362707
 01/01  21:00:00,23.1839431411,7.76811886666,0.0,0.0,5.48122459637,1.0115996781,226.485732763,226.485732763
 01/01  22:00:00,21.427687327,6.01186305258,0.0,0.0,5.48122459637,1.0115996781,191.616216609,191.616216609
 01/01  23:00:00,23.2106357895,7.79481151505,0.0,0.0,5.48122459637,1.0115996781,227.92045134,227.92045134
 01/01  24:00:00,21.4185039547,6.00267968021,0.0,0.0,5.48122459637,1.0115996781,191.736375414,191.736375414
 01/02  01:00:00,23.2006110957,7.78478682125,0.0,0.0,5.48122459637,1.0115996781,227.856172432,227.856172432
 01/02  02:00:00,21.4192954206,6.0034711461,0.0,0.0,5.48122459637,1.0115996781,191.751094193,191.751094193
 01/02  03:00:00,23.1956337546,7.77980948018,0.0,0.0,5.48122459637,1.0115996781,227.652627548,227.652627548
 01/02  04:00:00,21.4083168201,5.99249254563,0.0,0.0,5.48122459637,1.0115996781,191.380336837,191.380336837
 01/02  05:00:00,23.2058855396,7.79006126514,0.0,0.0,5.48122459637,1.0115996781,228.760283472,228.760283472
 01/02  06:00:00,21.4432079271,6.02738365261,0.0,0.0,5.48122459637,1.0115996781,193.889669522,193.889669522
 01/02  07:00:00,31.6614861679,16.2456618935,0.0,0.0,5.48122459637,1.0115996781,265.454672442,265.454672442
 01/02  08:00:00,52.1515586694,16.2456618935,0.0,0.0,21.9248983855,5.05799839049,227.735451534,227.735451534
 01/02  09:00:00,71.6300314928,16.2456618935,0.0,0.0,38.3685721746,8.09279742479,212.972152807,212.972152807
 01/02  10:00:00,83.6040803636,16.2456618935,0.0,0.0,49.3310213673,9.10439710289,209.70058786,209.70058786
 01/02  11:00:00,83.6040803636,16.2456618935,0.0,0.0,49.3310213673,9.10439710289,214.207134654,214.207134654
 01/02  12:00:00,76.1682470303,16.2456618935,0.0,0.0,49.3310213673,9.10439710289,216.993179765,216.993179765
 01/02  13:00:00,68.1882560892,16.2456618935,0.0,0.0,43.8497967709,8.09279742479,224.14561815,224.14561815
 01/02  14:00:00,74.6810803636,16.2456618935,0.0,0.0,49.3310213673,9.10439710289,221.50207452,221.50207452
 01/02  15:00:00,79.1425803636,16.2456618935,0.0,0.0,49.3310213673,9.10439710289,220.955934911,220.955934911
 01/02  16:00:00,83.6040803636,16.2456618935,0.0,0.0,49.3310213673,9.10439710289,220.911919621,220.911919621
 01/02  17:00:00,83.6040803636,16.2456618935,0.0,0.0,49.3310213673,9.10439710289,221.794276768,221.794276768
 01/02  18:00:00,36.1824115653,6.76933906377,0.0,0.0,16.4436737891,4.04639871239,209.819722544,209.819722544
 01/02  19:00:00,21.5398941063,6.12406983186,0.0,0.0,5.48122459637,1.0115996781,206.132175771,206.132175771
 01/02  20:00:00,23.3088932613,7.89306898684,0.0,0.0,5.48122459637,1.0115996781,242.776749018,242.776749018
