Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 02/06  06:00:00,152.760290167,28.4362235931,20.7154841653,47.0216594383,12.3672932834,24.9413748627,196.055145529,191.0822615,4.9528840297,0.02
 02/06  07:00:00,198.538052709,28.8916852344,21.9964323196,34.4284067511,24.7345865669,70.7195625826,161.575259228,151.649491168,9.90576805939,0.02
 02/06  08:00:00,207.161141752,28.931460495,22.213063164,23.0806573332,37.1018798503,92.3937384068,148.622871635,130.108983262,9.90576805939,8.60812031349
 02/06  09:00:00,212.443798981,28.9459174687,21.8603687515,19.4424183214,37.1018798503,104.434947198,133.36526571,123.439497651,9.90576805939,0.02
 02/06  10:00:00,223.093041282,28.955630017,23.6008819896,16.2997737265,37.1018798503,116.476155989,128.959435223,119.033667164,9.90576805939,0.02
 02/06  11:00:00,222.61805348,28.965828698,26.2480174988,13.1668167717,37.1018798503,116.476155989,133.10751836,114.569517189,9.90576805939,8.6322331118
 02/06  12:00:00,222.64132,28.9788817665,28.1968171458,11.2280436843,37.1018798503,116.476155989,121.19889162,111.27312356,9.90576805939,0.02
 02/06  13:00:00,210.502274076,28.9975030023,29.3461383244,9.96280424216,37.1018798503,104.434947198,127.622736892,109.087771081,9.90576805939,8.62919775133
 02/06  14:00:00,221.332223626,29.0341509623,28.9586788276,9.10183018629,37.1018798503,116.476155989,117.083441284,107.157673224,9.90576805939,0.02
 02/06  15:00:00,220.333944374,29.0748013035,28.5700516695,8.45167804665,37.1018798503,116.476155989,124.330074382,105.792172119,9.90576805939,8.63213420391
 02/06  16:00:00,219.776050566,29.1151232226,28.9229529471,7.50083563195,37.1018798503,116.476155989,114.203885467,104.278117408,9.90576805939,0.02
 02/06  17:00:00,218.003949232,29.1394702877,26.8219720222,7.80588693335,37.1018798503,116.476155989,113.587349879,103.661581819,9.90576805939,0.02
 02/06  18:00:00,226.805900831,29.1410345295,26.4107476656,9.97117384529,37.1018798503,116.476155989,124.164745237,105.641382339,9.90576805939,8.61759483878
 02/06  19:00:00,140.024081863,27.2634919016,25.6959636291,0.0,24.7345865669,47.5788473902,89.0765914579,84.1037074282,4.9528840297,0.02
 02/06  20:00:00,141.910802491,27.3730108823,27.4731622842,0.0,24.7345865669,47.5788473902,92.3712096317,87.398325602,4.9528840297,0.02
 02/06  21:00:00,120.89275492,27.117466594,27.8889716129,0.078621173012,12.3672932834,38.6892022431,104.236018235,101.244287818,2.97173041782,0.02
 02/06  22:00:00,83.265393738,13.9953678658,15.3909345358,0.0,12.3672932834,27.0668015668,65.2290613146,62.2373308967,2.97173041782,0.02
 02/06  23:00:00,72.9094743584,18.3689203239,19.875498586,0.0,4.12243109448,15.9888894789,83.8891634742,80.8974330564,2.97173041782,0.02
 02/06  24:00:00,59.0058432859,11.5479081141,12.490936241,0.498521612722,4.12243109448,15.9888894789,49.1785868771,46.1868564593,2.97173041782,0.02
 02/07  01:00:00,73.4094791186,18.3689203239,20.3755032979,0.0,4.12243109448,15.9888894789,84.6625506461,81.6708202283,2.97173041782,0.02
 02/07  02:00:00,61.5828094221,11.8107536678,14.1016277754,1.20195060554,4.12243109448,15.9888894789,49.1588166222,46.1670862043,2.97173041782,0.02
 02/07  03:00:00,75.4140361252,19.0698418004,21.0232463148,0.655892451446,4.12243109448,15.9888894789,84.8144919224,81.8227615046,2.97173041782,0.02
 02/07  04:00:00,72.7657412272,17.9322857551,19.5998381579,0.590403736875,4.12243109448,15.9888894789,82.6040564032,79.6123259854,2.97173041782,0.02
 02/07  05:00:00,114.338968203,28.1980538702,32.4403965715,1.64153640341,12.3672932834,24.9413748627,115.290879975,110.317995945,4.9528840297,0.02
 02/07  06:00:00,135.561445497,28.0425695546,35.6382279272,19.8216666154,12.3672932834,24.9413748627,180.951498314,175.978614284,4.9528840297,0.02
 02/07  07:00:00,191.966933318,28.9954181384,36.2242732027,16.5427795303,24.7345865669,70.7195625826,155.216339439,136.708769603,9.90576805939,8.60180177683
 02/07  08:00:00,206.020694886,29.1390615757,35.4521291601,11.2777374937,37.1018798503,92.3937384068,127.556013771,117.630245711,9.90576805939,0.02
 02/07  09:00:00,217.417744519,29.2127628476,36.3731336031,9.63675367669,37.1018798503,104.434947198,121.951267298,112.025499239,9.90576805939,0.02
 02/07  10:00:00,228.968890643,29.2546473707,36.9978064798,8.47967152288,37.1018798503,116.476155989,118.925996487,109.000228428,9.90576805939,0.02
 02/07  11:00:00,228.178098603,29.2881656095,37.0644102119,7.58814472592,37.1018798503,116.476155989,125.171565839,106.633585867,9.90576805939,8.63221191173
 02/07  12:00:00,230.073831498,29.3204507565,39.8220614926,6.69373063458,37.1018798503,116.476155989,114.352059062,104.426291003,9.90576805939,0.02
 02/07  13:00:00,216.701767695,29.3508268443,39.1120830985,6.04304070163,37.1018798503,104.434947198,121.220958935,102.686012848,9.90576805939,8.62917802725
 02/07  14:00:00,226.872191375,29.3747590071,37.1960893932,6.06376999091,37.1018798503,116.476155989,111.481869495,101.556101436,9.90576805939,0.02
 02/07  15:00:00,227.693067328,29.3697339025,37.1754661909,6.91046252355,37.1018798503,116.476155989,120.670075725,102.13362937,9.90576805939,8.63067829505
 02/07  16:00:00,223.995599802,29.4153770082,34.5380979769,5.80497982827,37.1018798503,116.476155989,110.200090752,100.274322692,9.90576805939,0.02
 02/07  17:00:00,221.070975141,29.4567056052,32.6442253431,4.73341544401,37.1018798503,116.476155989,116.365032541,97.8330323735,9.90576805939,8.62623210789
 02/07  18:00:00,227.778270888,29.4673590714,32.0606850738,4.96729675884,37.1018798503,116.476155989,107.42591205,97.5001439902,9.90576805939,0.02
 02/07  19:00:00,141.196129413,27.5555425168,26.5759594333,0.0,24.7345865669,47.5788473902,83.1560503885,78.1831663588,4.9528840297,0.02
 02/07  20:00:00,140.680233207,27.9936184396,25.6219833041,0.0,24.7345865669,47.5788473902,89.1854271347,84.212543105,4.9528840297,0.02
 02/07  21:00:00,117.929536734,26.6793906712,25.442448028,0.0,12.3672932834,38.6892022431,101.776557849,98.7848274308,2.97173041782,0.02
 02/07  22:00:00,83.8018267711,15.2219804497,14.4958259459,0.204927590659,12.3672932834,27.0668015668,64.6601122201,61.6683818023,2.97173041782,0.02
 02/07  23:00:00,73.3121536988,19.2436308155,19.3816252713,0.0,4.12243109448,15.9888894789,87.7898377256,84.7981073077,2.97173041782,0.02
 02/07  24:00:00,70.032164161,17.8461119245,16.6784284458,0.886252207247,4.12243109448,15.9888894789,78.586548945,75.5948185272,2.97173041782,0.02
 02/08  01:00:00,78.3966683583,22.0868002517,21.4584515331,0.0989928623169,4.12243109448,15.9888894789,100.575733997,97.5840035792,2.97173041782,0.02
 02/08  02:00:00,71.2216030483,18.3703616779,17.2166684955,0.99135921898,4.12243109448,15.9888894789,80.8223605724,77.8306301546,2.97173041782,0.02
 02/08  03:00:00,80.8492680125,23.1819900587,21.0500790272,1.86477515295,4.12243109448,15.9888894789,101.763630626,98.7719002078,2.97173041782,0.02
 02/08  04:00:00,69.5094705444,17.8446705705,16.573422361,0.448163888046,4.12243109448,15.9888894789,82.1084235759,79.1166931581,2.97173041782,0.02
 02/08  05:00:00,107.349222757,28.2856690548,24.2841159417,2.72045625436,12.3672932834,24.9413748627,116.068715023,111.095830994,4.9528840297,0.02
 02/08  06:00:00,125.642569603,28.0637923145,26.7733103947,18.746485393,12.3672932834,24.9413748627,189.92486869,176.370262111,4.9528840297,8.60172254849
 02/08  07:00:00,184.470192268,28.9994040696,27.1053572181,18.1609685707,24.7345865669,70.7195625826,147.35497001,137.429201951,9.90576805939,0.02
 02/08  08:00:00,199.869411815,29.1990904768,27.9855769442,12.5329778139,37.1018798503,92.3937384068,128.186077764,118.260309705,9.90576805939,0.02
 02/08  09:00:00,210.591850922,29.2701256259,28.5809444745,10.5456791579,37.1018798503,104.434947198,122.203957599,112.278189539,9.90576805939,0.02
 02/08  10:00:00,224.372308727,29.3352062389,32.6674380852,8.13288907491,37.1018798503,116.476155989,117.900884753,107.975116694,9.90576805939,0.02
 02/08  11:00:00,228.737647675,29.4328823792,40.273824272,4.7935762116,37.1018798503,116.476155989,121.049353484,102.51135308,9.90576805939,8.63223234398
 02/08  12:00:00,231.135625985,29.505464757,43.4334150666,3.95914563898,37.1018798503,116.476155989,110.045804967,100.120036908,9.90576805939,0.02
 02/08  13:00:00,218.346686145,29.5859059161,43.5750463855,2.98992986229,37.1018798503,104.434947198,116.606220821,98.0712921425,9.90576805939,8.62916061886
 02/08  14:00:00,230.307475562,29.6365889628,43.7381236848,2.69517908895,37.1018798503,116.476155989,106.930043298,97.0042752383,9.90576805939,0.02
 02/08  15:00:00,229.328235829,29.6868623116,42.9820364604,2.42194362071,37.1018798503,116.476155989,114.561783533,96.0238568041,9.90576805939,8.63215866926
 02/08  16:00:00,229.50242799,29.7568467346,43.2893057728,2.21912175073,37.1018798503,116.476155989,104.90648925,94.980721191,9.90576805939,0.02
 02/08  17:00:00,227.75697342,29.7779378619,41.3216329344,2.42077342498,37.1018798503,116.476155989,113.199646972,94.6676436707,9.90576805939,8.62623524151
 02/08  18:00:00,231.753535854,29.7519387413,37.5989016667,3.119773947,37.1018798503,116.476155989,105.317975086,95.3922070265,9.90576805939,0.02
 02/08  19:00:00,145.158361018,27.4460235361,30.6477082053,0.0,24.7345865669,47.5788473902,81.2339208786,76.2610368489,4.9528840297,0.02
 02/08  20:00:00,146.728025561,28.212656401,31.4507352829,0.0,24.7345865669,47.5788473902,87.0373448522,82.0644608225,4.9528840297,0.02
 02/08  21:00:00,122.610353386,26.6793906712,30.1058575273,0.0174045225466,12.3672932834,38.6892022431,99.5324296403,96.5406992225,2.97173041782,0.02
 02/08  22:00:00,86.8872129149,14.8715197114,18.1365989136,0.0,12.3672932834,27.0668015668,58.6161081327,55.6243777148,2.97173041782,0.02
 02/08  23:00:00,76.2310115307,19.3896561231,22.154457644,0.0,4.12243109448,15.9888894789,85.753345633,82.7616152152,2.97173041782,0.02
 02/08  24:00:00,60.632175512,12.2473882366,13.8468754247,0.0475922171724,4.12243109448,15.9888894789,52.2404597017,49.2487292839,2.97173041782,0.02
 02/09  01:00:00,75.8017405476,19.332687354,21.567920635,0.236076763447,4.12243109448,15.9888894789,83.5498689583,80.5581385404,2.97173041782,0.02
 02/09  02:00:00,57.1732911792,10.8469866376,11.6853720042,0.172454865114,4.12243109448,15.9888894789,48.9343833162,45.9426528984,2.97173041782,0.02
 02/09  03:00:00,77.7922085405,20.1197826611,22.1550217287,0.830506275803,4.12243109448,15.9888894789,91.2723563178,88.2806259,2.97173041782,0.02
 02/09  04:00:00,67.234471765,15.0905576728,16.6276907772,0.960377534338,4.12243109448,15.9888894789,75.1397682101,63.5662101818,2.97173041782,8.60182761047
 02/09  05:00:00,111.514537648,27.8767981935,30.4275093868,1.15124857114,12.3672932834,24.9413748627,114.928790565,109.955906535,4.9528840297,0.02
 02/09  06:00:00,129.886376265,28.0768667011,32.3112073291,17.4393208317,12.3672932834,24.9413748627,180.175476427,175.202592397,4.9528840297,0.02
 02/09  07:00:00,184.397397986,29.0747537085,28.39870645,16.7194755031,24.7345865669,70.7195625826,147.34798625,137.422218191,9.90576805939,0.02
 02/09  08:00:00,197.92027524,29.2714997891,25.8457634316,12.6512452343,37.1018798503,92.3937384068,129.611955653,119.686187594,9.90576805939,0.02
 02/09  09:00:00,207.3874356,29.3132073062,22.8107012191,13.068417796,37.1018798503,104.434947198,125.728137336,115.802369276,9.90576805939,0.02
 02/09  10:00:00,217.665266042,29.3243590038,20.348412044,13.7557095456,37.1018798503,116.476155989,133.207265584,114.674026933,9.90576805939,8.62747059087
 02/09  11:00:00,217.206630836,29.3363706511,20.1580392098,13.4748698724,37.1018798503,116.476155989,122.805391754,112.879623694,9.90576805939,0.02
 02/09  12:00:00,215.266556337,29.3821892269,20.6369673212,11.0097866843,37.1018798503,116.476155989,119.176127536,109.250359476,9.90576805939,0.02
 02/09  13:00:00,203.180152945,29.3944592647,21.5195841696,9.67657493695,37.1018798503,104.434947198,124.188256655,105.654787713,9.90576805939,8.6277008832
 02/09  14:00:00,213.864912643,29.4534660681,22.3750760553,7.79877474877,37.1018798503,116.476155989,112.760499835,102.834731775,9.90576805939,0.02
 02/09  15:00:00,210.558848965,29.5851034939,22.2324395208,4.11247156499,37.1018798503,116.476155989,113.786058449,95.2481529811,9.90576805939,8.63213740845
 02/09  16:00:00,209.865467487,29.6591853138,21.3603993573,3.2833177294,37.1018798503,116.476155989,102.171477951,92.2457098918,9.90576805939,0.02
 02/09  17:00:00,207.943593896,29.6870146146,20.9942137996,2.89510863085,37.1018798503,116.476155989,110.088078166,91.5560664113,9.90576805939,8.62624369506
 02/09  18:00:00,222.862002387,29.6035487822,20.9960150394,3.78402690444,37.1018798503,116.476155989,104.072426502,94.1466584429,9.90576805939,0.02
 02/09  19:00:00,145.112404484,27.5555425168,18.1106049446,0.0,24.7345865669,47.5788473902,81.9162423922,76.9433583625,4.9528840297,0.02
 02/09  20:00:00,140.701059546,27.9936184396,17.7940365808,0.0,24.7345865669,47.5788473902,89.3197038756,84.3468198459,4.9528840297,0.02
 02/09  21:00:00,119.859940755,26.6793906712,17.7134476214,0.0377584225979,12.3672932834,38.6892022431,102.120545122,99.1288147043,2.97173041782,0.02
 02/09  22:00:00,99.987319928,21.4325690755,14.2131039007,0.613834359943,12.3672932834,27.0668015668,85.9677997769,82.9760693591,2.97173041782,0.02
 02/09  23:00:00,69.769067854,17.4942098323,11.8042317027,0.0,4.12243109448,15.9888894789,78.2193980307,75.2276676129,2.97173041782,0.02
 02/09  24:00:00,78.5604989893,22.8315293205,14.2095294111,1.32777209636,4.12243109448,15.9888894789,99.7372286143,96.7454981964,2.97173041782,0.02
 02/10  01:00:00,70.5792051935,18.5893996393,10.9861167663,2.23920579243,4.12243109448,15.9888894789,82.0001365832,79.0084061653,2.97173041782,0.02
 02/10  02:00:00,79.8982500382,23.0067596896,13.7365377722,2.85691268169,4.12243109448,15.9888894789,111.973463468,100.399912265,2.97173041782,8.60182078531
 02/10  03:00:00,73.717516182,19.2465135235,10.8231530403,5.12802054125,4.12243109448,15.9888894789,83.7846779826,80.7929475648,2.97173041782,0.02
 02/10  04:00:00,84.773152631,24.0581419043,12.7652602273,7.86864380424,4.12243109448,15.9888894789,105.489569135,102.497838717,2.97173041782,0.02
 02/10  05:00:00,104.407802279,27.9936184396,13.974457374,5.54135894372,12.3672932834,24.9413748627,119.737089513,114.764205483,4.9528840297,0.02
 02/10  06:00:00,137.701520533,28.4715530417,17.6749226807,34.7448439064,12.3672932834,24.9413748627,185.209130578,180.236246548,4.9528840297,0.02
 02/10  07:00:00,186.956004848,28.9670740754,17.773438966,26.7032466026,24.7345865669,70.7195625826,151.294318384,141.368550325,9.90576805939,0.02
 02/10  08:00:00,194.653779526,29.0754373439,17.4088643303,17.4008345753,37.1018798503,92.3937384068,130.666217123,120.740449064,9.90576805939,0.02
 02/10  09:00:00,201.27026213,29.1430254495,18.9905015562,10.920617419,37.1018798503,104.434947198,120.918708391,110.992940331,9.90576805939,0.02
 02/10  10:00:00,212.024812252,29.2392354549,20.623807862,6.14481526289,37.1018798503,116.476155989,121.871125978,103.337883711,9.90576805939,8.62747420746
 02/10  11:00:00,213.819897734,29.3513208935,21.4976827305,4.26876848189,37.1018798503,116.476155989,108.102127088,98.1763590288,9.90576805939,0.02
 02/10  12:00:00,213.785412756,29.5970427771,21.8598122761,3.26696529493,37.1018798503,116.476155989,112.636655279,94.0971692211,9.90576805939,8.63371799864
 02/10  13:00:00,204.363584626,29.9907261084,21.8609039419,2.44120987438,37.1018798503,104.434947198,99.7991378846,89.8733698252,9.90576805939,0.02
 02/10  14:00:00,215.059214661,30.3378243032,22.9481182503,1.68104938702,37.1018798503,116.476155989,96.439364015,86.5135959556,9.90576805939,0.02
 02/10  15:00:00,212.528504426,30.4712198725,23.8372400368,1.40064427964,37.1018798503,116.476155989,103.367527527,84.8296420115,9.90576805939,8.63211745635
 02/10  16:00:00,209.780975273,30.3383241001,23.8414960375,1.28283529409,37.1018798503,116.476155989,95.7062963827,85.7805283234,9.90576805939,0.02
 02/10  17:00:00,208.872469708,30.1284949594,23.1905927708,1.31677246649,37.1018798503,116.476155989,105.799533744,87.2675113078,9.90576805939,8.62625437682
 02/10  18:00:00,216.876718611,29.7750593668,22.7273245454,1.54430327077,37.1018798503,116.476155989,101.049783061,91.124015002,9.90576805939,0.02
 02/10  19:00:00,139.209949203,27.3730108823,18.8618244027,0.0,24.7345865669,47.5788473902,79.5362201274,74.5633360977,4.9528840297,0.02
 02/10  20:00:00,138.372813035,28.1396437472,16.7298875591,0.0,24.7345865669,47.5788473902,87.5377339555,82.5648499258,4.9528840297,0.02
 02/10  21:00:00,115.776273135,26.2413147484,15.8884619528,0.0,12.3672932834,38.6892022431,101.307914041,98.3161836234,2.97173041782,0.02
 02/10  22:00:00,96.9138593441,21.3449538909,12.8190402628,0.0297215061696,12.3672932834,27.0668015668,85.7238161936,82.7320857758,2.97173041782,0.02
 02/10  23:00:00,70.7475106558,17.4942098323,10.2460978285,0.0,4.12243109448,15.9888894789,78.0693679442,75.0776375264,2.97173041782,0.02
 02/10  24:00:00,83.3839589258,22.9629520973,11.919280465,1.16194235711,4.12243109448,15.9888894789,108.746380641,97.1728120975,2.97173041782,8.60183812521
 02/11  01:00:00,72.8873493357,17.4942098323,9.10328103274,0.0,4.12243109448,15.9888894789,81.5642190757,78.5724886579,2.97173041782,0.02
 02/11  02:00:00,91.0732161004,23.8829115352,11.3177890497,4.44456544771,4.12243109448,15.9888894789,103.549956907,100.558226489,2.97173041782,0.02
 02/11  03:00:00,81.9663551681,19.2465135235,8.82230354745,5.02296030338,4.12243109448,15.9888894789,84.0533430339,81.0616126161,2.97173041782,0.02
 02/11  04:00:00,97.3832305174,24.0581419043,11.034430289,8.09752950275,4.12243109448,15.9888894789,105.59274752,102.601017102,2.97173041782,0.02
 02/11  05:00:00,107.45242322,27.9936184396,12.6000777415,7.86285188825,4.12243109448,16.0517297156,125.383797073,122.392066655,2.97173041782,0.02
 02/11  06:00:00,112.480320462,28.4316943624,12.8063967935,11.414410939,4.12243109448,16.0517297156,126.772800729,123.781070311,2.97173041782,0.02
 02/11  07:00:00,139.854051251,28.8697702852,11.8844638184,15.6455544894,4.12243109448,39.6058045677,120.653049937,117.661319519,2.97173041782,0.02
 02/11  08:00:00,192.153983347,28.8746870098,15.4568802487,46.6131020783,12.3672932834,65.3531420225,169.963366281,164.990482252,4.9528840297,0.02
 02/11  09:00:00,181.601642424,28.8742878661,18.6081293245,32.7186072523,12.3672932834,68.2430321324,154.262319144,149.289435114,4.9528840297,0.02
 02/11  10:00:00,197.249150693,28.9000335923,21.6353159602,18.9919831132,16.4897243779,93.1370602926,138.430349915,130.485735468,7.92461444751,0.02
 02/11  11:00:00,194.121369639,28.9024149053,24.0321347559,13.1441917259,16.4897243779,93.1370602926,129.806147368,121.861532921,7.92461444751,0.02
 02/11  12:00:00,196.380556529,28.9437327081,27.584071287,10.1373770136,16.4897243779,93.1370602926,133.235004939,116.697148446,7.92461444751,8.6132420453
 02/11  13:00:00,190.880853286,29.1109141705,31.2861149828,7.94841718646,16.4897243779,83.9857416113,120.76803798,112.823423533,7.92461444751,0.02
 02/11  14:00:00,189.930983502,29.2147804654,34.1395227687,6.37542168376,16.4897243779,83.9857416113,117.982058257,110.037443809,7.92461444751,0.02
 02/11  15:00:00,185.58893943,29.1503503019,33.6075954753,5.09029249171,16.4897243779,83.9857416113,117.328615104,109.384000657,7.92461444751,0.02
 02/11  16:00:00,159.47687949,28.8697702852,26.3031701864,0.0,12.3672932834,70.6512738906,64.1270523799,59.1541683502,4.9528840297,0.02
 02/11  17:00:00,159.643668573,28.8697702852,23.9930039423,0.0,12.3672932834,70.6512738906,67.1338274651,62.1609434354,4.9528840297,0.02
 02/11  18:00:00,148.912269208,28.8697702852,21.8021831276,0.0,12.3672932834,58.1284167478,74.0869751034,69.1140910737,4.9528840297,0.02
 02/11  19:00:00,111.421955612,26.2413147484,18.8258307786,0.0,12.3672932834,24.9413748627,98.5999749183,93.6270908886,4.9528840297,0.02
 02/11  20:00:00,108.028977659,26.2413147484,17.6479009179,0.0,12.3672932834,24.9413748627,106.410947443,101.438063413,4.9528840297,0.02
 02/11  21:00:00,90.6348158719,26.2413147484,17.1084475789,0.0,4.12243109448,16.0517297156,124.527026643,112.953468377,2.97173041782,8.60182784804
 02/11  22:00:00,79.8249117229,20.9930517987,13.7336680621,0.0,4.12243109448,15.9888894789,98.4168961889,95.4251657711,2.97173041782,0.02
 02/11  23:00:00,72.2912769823,17.4942098323,11.1977609382,0.0,4.12243109448,15.9888894789,84.6945545932,81.7028241754,2.97173041782,0.02
 02/11  24:00:00,80.8047998803,21.8677622903,13.1432900603,0.0,4.12243109448,15.9888894789,105.124195934,102.132465516,2.97173041782,0.02
 02/12  01:00:00,70.3692112744,17.9322857551,10.1199234912,0.834252901209,2.06121554724,15.9888894789,85.9255229282,82.9337925104,2.97173041782,0.02
 02/12  02:00:00,87.1847209066,23.8829115352,12.2907972297,5.53886426366,2.06121554724,15.9888894789,108.243230322,105.251499904,2.97173041782,0.02
 02/12  03:00:00,80.0715454911,19.2465135235,9.45490861871,6.68634664154,2.06121554724,15.9888894789,87.7270240324,84.7352936146,2.97173041782,0.02
 02/12  04:00:00,97.5020095583,24.0581419043,12.3531610509,10.1916120788,2.06121554724,15.9888894789,109.848881728,106.85715131,2.97173041782,0.02
 02/12  05:00:00,88.6659181481,19.2465135235,10.3984511028,9.31311478973,2.06121554724,15.9888894789,88.4847533013,85.4930228835,2.97173041782,0.02
 02/12  06:00:00,104.426116376,24.0581419043,12.5551707823,12.7896563383,2.06121554724,15.9888894789,110.528794325,107.537063908,2.97173041782,0.02
 02/12  07:00:00,90.9203947791,19.2465135235,10.1000656056,11.1889423715,2.06121554724,15.9888894789,89.3923643785,86.4006339607,2.97173041782,0.02
 02/12  08:00:00,92.1994236886,24.0581419043,12.972881229,14.1968106143,2.06121554724,15.9888894789,111.236777847,108.245047429,2.97173041782,0.02
 02/12  09:00:00,98.9980082698,19.1588983389,11.46219889,7.97382849702,4.12243109448,41.7362269337,86.9244495036,81.9515654739,4.9528840297,0.02
 02/12  10:00:00,109.056844976,23.9705267198,17.2356452363,8.69950553114,4.12243109448,41.7362269337,104.619501625,99.6466175949,4.9528840297,0.02
 02/12  11:00:00,96.6540900915,18.7208224161,15.9419075315,3.51729768175,4.12243109448,41.7362269337,82.5371203212,77.5642362915,4.9528840297,0.02
 02/12  12:00:00,108.029870655,22.7439141359,20.541133104,2.57902278485,4.12243109448,41.7362269337,101.1712266,96.1983425708,4.9528840297,0.02
 02/12  13:00:00,88.0847603437,17.4942098323,15.4752074347,0.0,4.12243109448,41.7362269337,79.7935674925,74.8206834628,4.9528840297,0.02
 02/12  14:00:00,103.184367022,21.8677622903,20.0383552315,0.0,4.12243109448,41.7362269337,96.3186659169,91.3457818872,4.9528840297,0.02
 02/12  15:00:00,92.2817892569,18.545592047,16.3195650916,0.2619659778,4.12243109448,41.7362269337,77.3878507379,72.4149667082,4.9528840297,0.02
 02/12  16:00:00,95.7103191325,22.8315293205,19.9092656873,0.241232686149,4.12243109448,41.7362269337,97.0289444103,92.0560603806,4.9528840297,0.02
 02/12  17:00:00,63.6459722297,18.1513237165,15.0492140545,0.143588539179,4.12243109448,24.8785346261,80.3264576307,75.353573601,4.9528840297,0.02
 02/12  18:00:00,59.2048334817,17.9322857551,14.5160692643,0.258304979597,2.06121554724,15.9888894789,85.0103421215,82.0186117037,2.97173041782,0.02
 02/12  19:00:00,73.0298852703,21.8677622903,16.3403532991,0.0,2.06121554724,15.9888894789,109.724114402,106.732383984,2.97173041782,0.02
 02/12  20:00:00,69.1451249347,17.4942098323,12.6484069426,0.0,2.06121554724,15.9888894789,88.8274151188,85.8356847009,2.97173041782,0.02
 02/12  21:00:00,86.9742939423,22.9191445051,15.1144680347,2.89660423356,2.06121554724,15.9888894789,110.464329828,107.472599411,2.97173041782,0.02
 02/12  22:00:00,82.3532297062,18.8084376007,11.9744997871,5.05275721687,2.06121554724,15.9888894789,89.19799118,86.2062607622,2.97173041782,0.02
 02/12  23:00:00,93.6778087927,23.4010280201,14.3502420159,6.81016470096,2.06121554724,15.9888894789,111.516765747,108.52503533,2.97173041782,0.02
 02/12  24:00:00,85.7019960904,19.6845894463,11.3155155154,11.4800545761,2.06121554724,15.9888894789,90.2303775805,87.2386471626,2.97173041782,0.02
 02/13  01:00:00,94.1486230289,23.6200659815,13.5710379329,9.97383868136,4.12243109448,15.9888894789,120.746389875,109.172824167,2.97173041782,8.60183529057
 02/13  02:00:00,91.0519005128,19.6845894463,10.7034062317,13.5054121845,4.12243109448,15.9888894789,90.1114333511,87.1197029333,2.97173041782,0.02
 02/13  03:00:00,99.5792730473,23.6200659815,13.2609484057,11.8093181113,4.12243109448,15.9888894789,112.485243616,109.493513199,2.97173041782,0.02
 02/13  04:00:00,93.7837566953,19.6845894463,10.695407047,15.4320260483,4.12243109448,15.9888894789,90.6289822165,87.6372517987,2.97173041782,0.02
 02/13  05:00:00,124.539339136,27.9936184396,15.7987586734,10.1655170785,12.3672932834,24.9413748627,128.885752877,123.912868847,4.9528840297,0.02
 02/13  06:00:00,169.351046391,28.4376947141,18.947478039,51.4295191842,12.3672932834,24.9413748627,197.27853848,192.30565445,4.9528840297,0.02
 02/13  07:00:00,216.219160243,28.8982287744,18.1720412523,40.3237880325,24.7345865669,70.7195625826,163.45175876,153.525990701,9.90576805939,0.02
 02/13  08:00:00,220.747155247,28.9372154576,18.4814088014,25.9481164551,37.1018798503,92.3937384068,140.091091323,130.165323264,9.90576805939,0.02
 02/13  09:00:00,220.394924429,28.9507927521,20.7692678884,16.8677697843,37.1018798503,104.434947198,129.353772345,119.428004286,9.90576805939,0.02
 02/13  10:00:00,223.626034819,28.9599876193,22.9461157182,11.1892059615,37.1018798503,116.476155989,131.419413429,112.886143684,9.90576805939,8.62750168535
 02/13  11:00:00,222.355239637,28.9705942787,26.7884274689,8.12212483776,37.1018798503,116.476155989,118.526654614,108.600886554,9.90576805939,0.02
 02/13  12:00:00,217.107824057,29.0405201412,28.3411533143,5.31724454759,37.1018798503,116.476155989,120.664459103,102.12499886,9.90576805939,8.63369218374
 02/13  13:00:00,204.648963202,29.2827654852,28.7133883947,3.74226484196,37.1018798503,104.434947198,107.372521417,97.4467533572,9.90576805939,0.02
 02/13  14:00:00,215.968019187,29.4662649224,30.0256984516,2.21122920232,37.1018798503,116.476155989,104.002800291,94.0770322316,9.90576805939,0.02
 02/13  15:00:00,222.387682036,29.3328280422,29.9036510984,1.82697379491,37.1018798503,116.476155989,113.244904892,94.7069229907,9.90576805939,8.6322138418
 02/13  16:00:00,228.646633641,29.2426333321,29.8425972045,1.8346729846,37.1018798503,116.476155989,106.162392104,96.2366240444,9.90576805939,0.02
 02/13  17:00:00,221.117930217,29.2576895202,28.3478367938,2.12691651808,37.1018798503,116.476155989,115.997221731,97.4652125531,9.90576805939,8.62624111894
 02/13  18:00:00,219.693163499,29.2623550567,25.8776172525,2.73997582475,37.1018798503,116.476155989,108.8592393,98.9334712405,9.90576805939,0.02
 02/13  19:00:00,136.129185856,27.4095172092,21.5174977144,0.0,24.7345865669,47.5788473902,83.7968033123,78.8239192826,4.9528840297,0.02
